,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
0,1,11.8,6.1,1,0,1,1,1
1,0,14.0,5.4,0,0,1,0,0
2,0,11.8,6.3,1,1,1,1,1
3,0,14.4,6.1,0,1,1,1,1
4,1,13.5,5.9,0,0,0,0,0
5,1,13.0,6.8,1,1,1,1,1
6,1,15.3,6.2,1,1,1,0,1
7,0,13.0,5.2,0,0,0,0,0
8,1,11.9,5.4,1,0,1,1,0
9,1,12.1,5.4,0,0,0,0,0
10,0,12.5,5.4,1,1,1,1,1
11,1,15.5,5.8,1,1,1,1,1
12,0,14.7,5.2,1,1,1,1,1
13,1,14.5,6.7,0,1,1,1,1
14,1,14.2,6.5,0,0,0,0,0
15,0,12.5,5.2,1,1,1,1,1
16,1,15.2,6.0,1,1,1,1,1
17,1,14.0,5.9,0,0,0,0,0
18,1,11.9,5.2,0,0,0,0,0
19,1,14.4,5.6,1,0,1,1,1
20,1,14.6,6.3,1,1,1,1,1
21,1,12.8,7.0,1,1,1,1,1
22,1,12.9,6.4,1,0,0,1,0
23,0,12.2,6.0,1,1,0,1,1
24,0,14.2,5.3,0,0,0,0,0
25,1,12.3,6.3,0,0,0,0,0
26,1,14.2,6.2,0,0,0,0,0
27,1,12.5,5.2,0,0,0,0,0
28,1,15.5,5.7,1,1,1,0,1
29,1,15.3,6.3,1,1,1,1,1
30,1,15.3,5.2,1,1,1,1,1
31,1,12.3,6.8,1,1,1,1,1
32,1,11.8,5.3,1,0,0,0,0
33,1,11.8,6.0,1,0,0,0,0
34,1,12.7,5.4,0,1,1,1,1
35,1,14.1,6.1,1,1,1,1,1
36,1,12.9,6.0,0,0,0,0,0
37,1,14.0,5.1,1,0,0,0,0
38,0,13.5,5.2,0,0,0,0,0
39,0,15.5,6.3,1,1,1,1,1
40,1,14.1,5.9,0,0,0,0,0
41,1,14.4,6.8,1,1,1,1,1
42,1,12.2,6.1,1,1,1,1,1
43,1,11.5,6.2,0,0,0,0,0
44,0,12.9,6.3,1,1,1,1,1
45,1,12.1,5.2,1,1,1,1,1
46,1,13.8,5.1,0,0,0,0,0
47,1,13.7,5.3,0,1,1,0,1
48,1,11.5,6.3,1,0,1,0,0
49,1,12.0,5.5,0,1,0,0,0
50,1,14.1,5.4,1,1,1,0,1
51,1,12.8,6.4,0,0,0,1,0
52,1,12.9,5.3,0,0,0,0,0
53,1,13.5,5.3,0,0,0,0,0
54,1,14.0,5.3,1,1,1,1,1
55,1,11.4,5.6,0,0,1,1,0
56,1,15.4,5.1,1,1,1,0,1
57,1,13.5,6.0,1,1,1,1,1
58,1,14.0,5.4,0,1,0,1,1
59,1,14.1,5.9,0,0,0,0,0
60,1,13.3,5.5,0,0,1,0,0
61,1,13.2,5.8,0,1,1,1,1
62,1,11.9,5.4,1,1,0,0,0
63,0,14.3,5.6,1,1,1,1,1
64,1,13.9,6.5,0,0,0,0,0
65,1,11.8,5.1,0,0,1,1,0
66,1,14.2,6.2,0,0,0,0,0
67,1,11.7,6.2,0,1,0,0,0
68,1,14.2,5.8,0,0,1,0,0
69,0,12.1,6.3,0,0,1,1,0
70,1,11.8,6.1,0,0,0,0,0
71,1,15.1,6.0,1,1,1,1,1
72,1,13.2,6.2,1,1,1,1,1
73,1,15.0,6.8,1,0,0,0,1
74,1,14.2,6.5,0,0,1,1,0
75,0,12.4,6.0,0,1,0,0,0
76,1,14.1,5.2,0,0,0,0,0
77,1,13.9,5.9,1,0,1,1,1
78,1,11.8,6.0,1,1,1,1,1
79,1,11.6,7.1,0,1,1,1,1
80,1,12.4,6.5,0,0,0,0,0
81,0,11.5,5.9,0,0,0,0,0
82,1,13.7,6.7,1,1,1,1,1
83,1,12.2,5.1,0,1,0,0,0
84,1,13.7,5.1,0,0,0,1,0
85,1,12.5,5.6,1,1,0,1,1
86,1,11.9,6.0,1,1,1,1,1
87,1,12.4,6.1,0,0,0,0,0
88,1,12.6,5.9,0,0,1,1,1
89,1,14.1,6.2,1,0,1,1,1
